SMILES,RT
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4)=C5C=CC=CC5=C2,10.9
N#CC1=C(O)C(C2=C(C(C)(C)C)NC3=C2C=CC=C3)=C4C=CC=CC4=C1,5.7
OC1=C(Br)C=C2C=CC=CC2=C1C3=C(C(C)(C)C)NC4=C3C=CC=C4,17.4
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)CC)NC4=C3C=CC=C4)=C5C=CC=CC5=C2,8.7
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C45C[C@H]6C[C@@](C5)([H])C[C@H](C6)C4)NC7=C3C=CC=C7)=C8C=CC=CC8=C2,10.6
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C4(CC5)CCC5CC4)NC6=C3C=CC=C6)=C7C=CC=CC7=C2,11.2
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C4(C)CCCC4)NC5=C3C=CC=C5)=C6C=CC=CC6=C2,11.5
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C4(C)CCC4)NC5=C3C=CC=C5)=C6C=CC=CC6=C2,12.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)C)NC4=C3C=CC=C4)=C5C=CC=CC5=C2,14.5
O=C(C1=CC2=C(NC(C(C)(C)C)=C2C3=C4C=CC=CC4=CC(C(OC5=CC=CC=C5C(C)C)=O)=C3O)C=C1)OC,10.7
O=C(OC1=CC=CC=C1)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC=CC6=C2,15.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C(F)=CC=C4)=C5C=CC=CC5=C2,10.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C(Cl)=CC=C4)=C5C=CC=CC5=C2,11.2
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(OC)C=C4)=C5C=CC=CC5=C2,9.5
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C)C=C4)=C5C=CC=CC5=C2,12.3
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(F)C=C4)=C5C=CC=CC5=C2,13.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(Br)C=C4)=C5C=CC=CC5=C2,6.4
O=C(C1=CC2=C(NC(C(C)(C)C)=C2C3=C4C=CC=CC4=CC(C(OC5=CC=CC=C5C(C)C)=O)=C3O)C=C1)OC,23
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C(F)(F)F)C=C4)=C5C=CC=CC5=C2,7.8
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C#N)C=C4)=C5C=CC=CC5=C2,10.7
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC(C)=C4)=C5C=CC=CC5=C2,14.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC(F)=C4)=C5C=CC=CC5=C2,8
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC(Cl)=C4)=C5C=CC=CC5=C2,7.3
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4C)=C5C=CC=CC5=C2,7.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4)=C5C=CC(Br)=CC5=C2,9.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4)=C5C=CC(C6=CC=CC=C6)=CC5=C2,13.4
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C)C=C4)=C5C=CC(Br)=CC5=C2,14.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(OC)C=C4)=C5C=CC(Br)=CC5=C2,9.8
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(Br)=CC6=C2,12.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(OC)=CC6=C2,13.3
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(OC)=CC6=C2,19
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(CCCC)=CC6=C2,16.7
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3,7.798
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(OC)C=C3,13.323
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(OC(F)(F)F)C=C3,17.685
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(F)C=C3,16.792
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3F,9.605
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(Cl)C=C3,9.848
O=C(N1C=C(/C=C/[C@@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(C3=CC=CC=C3)C(OCC)=O)C4=C1C=CC=C4)OC(C)(C)C,11.147
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(OCC4)C4=C3,11.261
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CSC4=CC=CC=C43,9.998
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=C4C=CC=CC4=CC=C3,17.833
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C#CC3=CC=CC=C3,4.884
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C=C/C3=CC=CC=C3,7.019
O=C(OC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3,19.48
S=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3,5.134
O=C(C1=CC=CC=C1)[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(C3=CC=CC=C3)/C=C/C4=CC=CC=C4,5.853
O=C(C1=CC=CO1)[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(C3=CC=CC=C3)/C=C/C4=CC=CC=C4,6.267
O=C(C1=NC=CC=C1)[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(C3=CC=CC=C3)/C=C/C4=CC=CC=C4,8.674
O=C(OC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=C(OC)C=C2)/C=C/C3=CC=CC=C3,20.088
O=C(OC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=C(C(C)(C)C)C=C2)/C=C/C3=CC=CC=C3,15.093
O=C(OCC)[C@@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C)/C=C/C2=CC=CC=C2,14.175
O=C(OCC)[C@@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(CC)/C=C/C2=CC=CC=C2,6.043
O=C(OCC)[C@@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(CC2=CC=CC=C2)/C=C/C3=CC=CC=C3,15.534
O=C1[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(/C=C/C3=CC=CC=C3)CCC1,6.043
O=C1[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(/C=C/C3=CC=CC=C3)CCCC1,7.692
O=C1[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(/C=C/C3=CC=CC=C3)CCCCC1,5.52
O=C1[C@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(/C=C/C3=CC=CC=C3)CCCCCCCCCC1,4.861
O=C(OC)C1=C(F)C(F)=C(N[C@](/C=C/C2=CC=CC=C2)(C3=CC=CC=C3)C(OCC)=O)C(F)=C1F,11.8
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C(F)=C(F)C(F)=C2F)/C=C/C3=CC=CC=C3,18.424
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C(F)=C(Br)C(F)=C2F)/C=C/C3=CC=CC=C3,4.958
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C(F)=NC(F)=C2F)/C=C/C3=CC=CC=C3,6.028
O=C(OCC)[C@](NC1=C(F)C(F)=CC(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3,6.273
O=C(OCC)[C@](NC1=C(F)C=C(F)C=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3,6.33
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C=C(Br)C=C2F)/C=C/C3=CC=CC=C3,6.387
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C=C(OC)C=C2F)/C=C/C3=CC=CC=C3,9.724
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C=CC=C2F)/C=C/C3=CC=CC=C3,5.652
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C=C(F)C(F)=C2Br)/C=C/C3=CC=CC=C3,6.033
O=C(OCC)[C@@](C1=CC=CC=C1)(NC2=C(F)C=C(F)C=C2Br)/C=C/C3=CC=CC=C3,6.856
O=[P@@](C1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=CC=C([N+]([O-])=O)C=C3,11.76
O=[P@](C1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=CC=CC=C3[N+]([O-])=O,19.87
O=[P@](C1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=CC(C)=CC=C3[N+]([O-])=O,4.14
O=[P@](C1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=CC=C(C)C=C3[N+]([O-])=O,17.79
O=[P@](C1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=C([N+]([O-])=O)C=CC=C3C,17.17
O=[P@](C1=CC=CC=C1)(OC2=CC=CC=C2CC3=CC=CC=C3)OC4=C([N+]([O-])=O)C=CC=C4C,22.55
O=[P@](C1=CC=CC=C1)(OC2=CC=CC=C2CC=C)OC3=C([N+]([O-])=O)C=CC=C3C,4.16
O=[P@](C1=CC=CC=C1)(OC2=CC=CC=C2CC)OC3=C([N+]([O-])=O)C=CC=C3C,13.02
O=[P@@](C1=CC=CC=C1)(OC2=C([N+]([O-])=O)C=CC=C2C)OC3=CC=CC=C3C,11.03
COC1=CC=C([P@](OC2=C([N+]([O-])=O)C=CC=C2C)(OC3=CC=CC=C3CO[Si](C)(C(C)(C)C)C)=O)C=C1,8.63
O=[P@](C1=CC=CC=C1)(OC2=CC=CC(C)=C2C)OC3=C([N+]([O-])=O)C=CC=C3C,11.98
O=[P@](C1=CC=CC=C1)(OC2=CC=C(Cl)C=C2C3CCCCC3)OC4=C([N+]([O-])=O)C=CC=C4C,10.61
COC1=CC=C([P@](OC2=C([N+]([O-])=O)C=CC=C2C)(OC3=CC(C)=CC=C3C(C)C)=O)C=C1,9.75
COC1=CC=C([P@](OC2=C([N+]([O-])=O)C=CC=C2C)(OC3=CC(C(C)C)=CC=C3C)=O)C=C1,9.4
COC1=CC=C([P@](OC2=C([N+]([O-])=O)C=CC=C2C)(OC3=CC=C(C)C=C3C)=O)C=C1,11.73
C[P@](OC1=C([N+]([O-])=O)C=CC=C1C)(OC2=CC=C(C)C=C2C)=O,8.93
CC[P@](OC1=C([N+]([O-])=O)C=CC=C1C)(OC2=CC=C(C)C=C2C)=O,6.75
CC([P@](OC1=C([N+]([O-])=O)C=CC=C1C)(OC2=CC=C(C)C=C2C)=O)C,11.11
CCCCCC[P@](OC1=C([N+]([O-])=O)C=CC=C1C)(OC2=CC=C(C)C=C2C)=O,12.43
O=[P@](CC1CC1)(OC2=CC=C(C)C=C2C)OC3=C([N+]([O-])=O)C=CC=C3C,13.06
O=[P@](CC1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=C([N+]([O-])=O)C=CC=C3C,15.61
CC1=CC=CC=C1C[P@](OC2=C([N+]([O-])=O)C=CC=C2C)(OC3=CC=C(C)C=C3C)=O,15.19
FC(C1=CC=CC=C1C[P@](OC2=C([N+]([O-])=O)C=CC=C2C)(OC3=CC=C(C)C=C3C)=O)(F)F,14.84
O=[P@](C1=CSC=C1)(OC2=CC=C(C)C=C2C)OC3=C([N+]([O-])=O)C=CC=C3C,10.7
CSC[P@](OC1=C([N+]([O-])=O)C=CC=C1C)(OC2=CC=C(C)C=C2C)=O,4.22
O=[P@](COCC1=CC=CC=C1)(OC2=CC=C(C)C=C2C)OC3=C([N+]([O-])=O)C=CC=C3C,25.09
CC([Si](OC[P@](OC1=C([N+]([O-])=O)C=CC=C1C)(OC2=CC=C(C)C=C2C)=O)(C3=CC=CC=C3)C4=CC=CC=C4)(C)C,9.32
O=[P@](C1=CC=CC=C1)(OCC2=CC=CC=C2)OC3=CC=C(C)C=C3C,11.04
O=[P@@](SCCC)(C1=CC=CC=C1)OC2=CC=C(C)C=C2C,23.18
O=C(OC(C)(C)C)N(CC1=CC=CC=C1)[P@](C2=CC=CC=C2)(OC3=CC=C(C)C=C3C)=O,23.61
COC1=CC=C([P@]2(OCC3=CC=CC=C3O2)=O)C=C1,17.54
